"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.14 10:00 PM GMT","USA International Speedway","iRacing Street Stock Series - R","2019","2","A","10","1328",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","36","Street Stock","34","Street Stock","345875","345875","Kellie Carden","1","7","0","Running","-00.000","40","","25.376","24.795","13","40","2","81","0","0","32","West","1255","1351","6","246","6","266","iRacing Street Stock Series - R","100","0","81"
"2","36","Street Stock","34","Street Stock","369288","369288","Blake Piland","3","6","0","Running","-09.201","0","","25.606","24.888","11","40","4","75","0","0","30","Texas","1278","1360","7","349","7","357","iRacing Street Stock Series - R","100","0","75"
"3","36","Street Stock","34","Street Stock","373318","373318","Javier Doria Dulanto","13","10","0","Running","-1 L","0","","26.062","25.084","39","39","8","69","0","0","38","Iberia","","","2","252","2","263","iRacing Street Stock Series - R","100","0","69"
"4","36","Street Stock","34","Street Stock","373944","373944","Javier Ruiz Sierra","6","5","0","Running","-1 L","0","","26.550","25.088","10","39","6","63","0","0","15","Canada","1283","1338","6","287","6","290","iRacing Street Stock Series - R","100","0","63"
"5","36","Street Stock","34","Street Stock","376699","376699","Philip Rumble","2","2","0","Running","-2 L","0","","27.045","24.948","13","38","12","57","0","0","22","Florida","1300","1341","6","240","6","239","iRacing Street Stock Series - R","100","0","57"
"6","36","Street Stock","34","Street Stock","375603","375603","Alex Zilio","12","12","0","Running","-10 L","0","","28.271","26.375","30","30","14","52","0","0","41","Italy","","","2","250","2","250","iRacing Street Stock Series - R","100","0","52"
"7","36","Street Stock","34","Street Stock","377283","377283","Alejandro Lorenzo4","8","13","32","Disconnected","-23 L","0","","26.748","25.486","12","17","10","46","0","0","38","Iberia","","","2","250","2","245","iRacing Street Stock Series - R","100","0","46"
"8","36","Street Stock","34","Street Stock","377284","377284","Alberto Di Sirio","10","14","32","Disconnected","-23 L","0","","33.616","24.881","11","17","8","40","0","0","38","Iberia","","","2","250","2","247","iRacing Street Stock Series - R","100","0","40"
"9","36","Street Stock","34","Street Stock","374317","374317","Jason Littleton2","14","11","29","Disqualified","-33 L","0","","28.717","25.696","5","7","18","34","0","0","30","Texas","","","2","250","2","228","iRacing Street Stock Series - R","100","0","34"
"10","36","Street Stock","34","Street Stock","377285","377285","Ivan Perez Salgado","11","15","32","Disconnected","-35 L","0","","33.062","25.511","4","5","10","28","0","0","38","Iberia","","","2","250","2","235","iRacing Street Stock Series - R","100","0","28"
"11","36","Street Stock","34","Street Stock","331504","331504","Matt Warner","4","4","32","Disconnected","-36 L","0","","32.607","25.028","4","4","2","23","0","0","14","New York","1286","1249","7","333","7","322","iRacing Street Stock Series - R","100","0","23"
"12","36","Street Stock","34","Street Stock","374245","374245","Johnny Luna","9","8","32","Disconnected","-38 L","0","","32.659","","","2","10","17","0","0","6","California Club","","","2","271","2","259","iRacing Street Stock Series - R","100","0","17"
"13","36","Street Stock","34","Street Stock","339769","339769","Christopher Kelley3","7","3","32","Disconnected","-39 L","0","","33.045","","","1","4","11","0","0","21","Georgia","1297","1232","6","218","6","213","iRacing Street Stock Series - R","100","0","11"
"14","36","Street Stock","34","Street Stock","288383","288383","Aaron Boziel","5","1","32","Disconnected","-39 L","0","","00.000","","","1","4","5","0","0","29","Midwest","1319","1240","6","227","6","220","iRacing Street Stock Series - R","100","0","5"
"15","36","Street Stock","34","Street Stock","60798","60798","Phil Hopkins","15","9","32","Disconnected","-40 L","0","","00.000","","","0","0","0","0","0","30","Texas","","","2","295","2","295","iRacing Street Stock Series - R","100","0","0"